med_anonym,med_real
75.87,79.36
102.87,95.25
65.64,71.82
87.23,80.47
93.52,95.43
88.42,85.1
89.84,98.19
104.21,99.44
97.83,89.02
85.9,89.57
80.45,82.86
64.34,68.6
62.94,64.28
99.24,94.78
93.72,99.38
69.72,64.92
58.83,63.67
86.15,78.46
85.37,91.11
82.99,76.7
83.44,76.97
113.37,106.36
78.92,71.88
96.76,94.12
75.17,80.48
64.22,67.81
66.61,64.6
95.47,89.31
59.37,64.82
95.44,90.38
67.37,69.74
88.18,81.72
94.4,88.06
92.99,100.75
111.05,103.11
82.89,81.18
79.29,84.53
95.06,89.34
75.41,78.47
89.5,97.6
72.74,78.56
80.04,75.51
70.53,68.87
70.3,73.45
75.57,68.95
101.64,97.08
75.56,71.49
67.58,69.17
103.23,105.88
77.8,83.84
89.22,83.06
88.9,81.71
97.32,93.58
59.84,64.2
82.29,85.36
95.44,86.93
68.89,64.44
91.05,99.95
94.42,89.08
68.8,72.12
71.18,78.83
83.25,78.32
102.07,96.38
66.01,71.99
96.72,92.56
72.63,69.71
82.89,89.51
77.89,83.48
84.59,81.33
89.52,96.78
93.78,91.49
69.24,73.9
94.8,92.76
77.81,75.76
87.87,91.82
84.98,90.4
86.42,79.57
72.93,80.68
64.86,66.19
84.27,79.58
104.68,97.56
110.01,101.3
70.15,66.81
92.91,96.68
73.62,78.57
72.74,75.61
103.85,101.62
100.7,92.46
105.66,97.29
77.76,72.61
94.43,100.99
99.47,92.7
100.47,93.46
90.95,83.82
78.69,74.31
111.22,104.52
60.34,61.95
106.29,99.43
85.62,88.45
72.88,70.16
87.48,93.87
60.96,67.66
95.6,88.02
84.9,91.58
99.16,91.39
104.94,101.68
88.44,90.89
91.04,95.43
81.06,89.77
99.73,91.92
86.04,84.19
73.76,81.59
71.57,79.08
78.18,72.87
57.17,54.97
72.23,69.52
70.57,65.96
78.75,75.72
96.54,94.18
84.93,93.33
79.35,86.07
75.83,71.96
85.88,80.34
98.05,91.9
68.87,74.86
65.57,69.98
108.96,101.74
92.85,102.37
80.52,77.5
87.59,89.47
72.76,75.64
70.78,75.06
109.21,104.71
61.31,67.16
81.98,76.12
93.88,95.89
103.18,105.71
108.14,99.76
98.21,90.19
102.33,93.28
83.93,91.62
75.02,71.79
70.52,72.25
95.5,97.75
83.15,86.43
109.34,104.43
88.1,85.78
108.04,99.85
71.56,68.22
81.41,88.4
75.67,79.57
80.87,73.99
81.71,85.03
72.68,74.86
69.38,72.72
67.35,74.67
112.8,107.23
74.99,70.55
76.46,71.39
104.73,99.75
70.1,65.33
101.72,94.53
86.61,80.27
85.21,93.03
70.21,72.08
61.76,66.61
101.45,94.63
94.63,100.67
65.02,67.3
75.29,82.1
89.44,91.45
68.65,73.27
78.45,80.71
84.76,89.51
82.0,80.15
101.58,97.02
84.42,87.76
90.51,84.91
91.52,97.78
85.44,93.27
82.34,89.5
79.36,75.58
84.13,80.12
65.69,72.35
98.63,93.94
103.63,100.13
89.61,99.57
90.18,87.13
100.19,102.86
104.48,100.95
92.9,87.24
94.85,87.34
68.77,74.27
80.07,84.1
99.49,95.39
114.77,104.91
74.89,76.73
105.32,102.56
96.98,107.16
103.43,94.63
95.99,99.57
86.3,79.1
82.78,88.92
88.78,86.96
70.94,73.6
86.26,78.63
73.98,72.32
84.15,87.12
101.14,92.62
88.0,90.35
66.36,68.76
98.76,90.19
73.53,81.34
63.99,70.62
85.01,81.5
76.46,74.45
87.56,85.34
84.31,79.99
74.08,77.57
89.19,95.19
66.23,69.64
91.04,89.08
68.01,73.05
78.14,82.43
83.22,91.76
76.93,71.63
