max_anonym,max_real
105.58,102.31
78.21,75.79
105.54,102.27
100.95,97.82
106.76,103.45
98.64,95.58
97.49,94.47
115.0,111.44
113.97,110.44
154.79,150.0
117.21,113.58
104.14,100.92
77.8,75.39
95.94,92.97
102.07,98.91
76.61,74.24
94.12,91.2
89.43,86.67
91.84,88.99
106.72,103.42
85.98,83.32
117.76,114.11
98.38,95.34
98.67,95.62
120.36,116.63
98.91,95.85
111.54,108.08
105.7,102.43
108.01,104.66
98.64,95.59
78.7,76.26
96.61,93.62
95.57,92.61
95.65,92.69
114.63,111.08
118.17,114.52
175.4,169.97
110.32,106.9
94.18,91.27
113.29,109.78
91.17,88.34
87.99,85.27
95.19,92.25
110.77,107.34
231.61,224.44
129.64,125.63
83.34,80.76
97.34,94.33
94.22,91.3
102.55,99.38
111.75,108.29
84.35,81.74
91.9,89.06
115.13,111.57
87.49,84.78
104.2,100.97
83.92,81.33
84.73,82.1
105.24,101.98
118.01,114.36
106.85,103.55
